id,label,created_at,updated_at,featured_priority,description
05ef21b1-411d-41f0-9458-b8b6d519a048,内閣提出法案,2025-10-16 04:13:05.887839+00,2025-11-18 06:07:40.972208+00,,
3cf65fac-c13d-4367-8a51-2e4f004efb2e,防災☔,2025-11-18 06:18:42.866949+00,2025-11-25 15:39:24.549319+00,1,
5dd26ab9-a6db-48f6-b6e5-a58e11b0a8fe,地域医療,2025-10-13 07:56:23.541904+00,2025-10-13 07:56:23.541904+00,,
61e6c1f9-be75-41c8-88c4-2009be01e3ae,デジタル化🖥️,2025-10-14 09:10:10.272567+00,2025-11-25 15:39:02.022578+00,4,デジタル化に関する法案
7a32b542-8af5-4050-96b6-bc8eb1ba1b9a,財務金融委員会,2025-10-13 07:39:00.441189+00,2025-10-13 07:39:00.441189+00,,
83099384-f737-4d7b-a41e-164c003925fe,暮らし🙋,2025-11-18 05:17:41.091422+00,2025-11-25 15:39:14.763934+00,2,暮らしや生活に関する法案
8b846e19-5d14-43e8-8582-57f6a216a525,物価高,2025-10-13 07:38:25.573707+00,2025-10-13 07:38:25.573707+00,,
921d8968-2063-43c9-8074-1292c7d1b8d8,議員立法,2025-10-16 03:44:18.180211+00,2025-11-18 06:07:51.322161+00,,
b40b5d7a-99f7-441a-bfbd-db993c05d578,成立,2025-12-03 10:15:36.382984+00,2025-12-03 10:15:36.382984+00,,
c1c52e34-bd7d-4e2c-8d19-8bd8fb3a41db,厚生労働委員会,2025-10-13 07:56:32.613651+00,2025-10-13 07:56:32.613651+00,,
d5055d57-0951-4239-a3e7-f63485cd81c5,医療・福祉🏥,2025-10-13 07:55:44.620723+00,2025-11-25 15:39:07.082351+00,3,医療や介護・福祉に関する法案
e9568f3a-ce5a-49ee-ac69-14cd1732b85d,人事🧳,2025-11-18 06:24:47.448871+00,2025-12-09 08:36:48.934266+00,1,
febc1928-e85f-4a60-a1d2-cdcd69dc681c,ガソリン暫定税率,2025-10-13 07:38:14.372103+00,2025-10-13 07:38:14.372103+00,,
